ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year,Company Name,Sub-Industry,Splits,Dividends
NCC,EQY,NAOS EMERGING OPPORTUNITIES COMPANY LIMITED                 ,ORDINARY            ,1.255,20180629,2018,Naos Emerging Opportunities Company Limited Ordinary,Investment Management & Fund Operators,1.0,0.0
NCK,EQY,NICK SCALI LIMITED                                          ,ORDINARY            ,6.73,20180629,2018,Nick Scali Limited Ordinary,Home Furnishings Retailers,1.0,0.0
NCL,EQY,NETCCENTRIC LIMITED                                         ,CDI 1:1             ,0.012,20180629,2018,,,1.0,0.0
NCM,EQY,NEWCREST MINING LIMITED                                     ,ORDINARY            ,21.8,20180629,2018,,,1.0,0.0
NCR,EQY,NUCOAL RESOURCES LIMITED                                    ,ORDINARY            ,0.015,20180629,2018,Nucoal Resources Limited Ordinary,Coal,1.0,0.0
NCZ,EQY,NEW CENTURY RESOURCES LIMITED                               ,ORDINARY            ,1.31,20180629,2018,,,1.0,0.0
NDQ,EQY,BETASHARES NASDAQ 100 ETF                                   ,ETF UNITS           ,16.61,20180629,2018,BetaShares Nasdaq-100 ETF,,1.0,0.0
NEA,EQY,NEARMAP LTD                                                 ,ORDINARY            ,1.135,20180629,2018,,,1.0,0.0
NEC,EQY,NINE ENTERTAINMENT CO. HOLDINGS LIMITED                     ,ORDINARY            ,2.48,20180629,2018,Nine Entertainment Co. Holdings Limited Ordinary,Broadcasting,1.0,0.0
NES,EQY,NELSON RESOURCES LIMITED.                                   ,ORDINARY            ,0.14,20180629,2018,Nelson Resources Limited Ordinary,Gold,1.0,0.0
NET,EQY,NETLINKZ LIMITED                                            ,ORDINARY            ,0.035,20180629,2018,Netlinkz Limited Ordinary,Software,1.0,0.0
NEU,EQY,NEUREN PHARMACEUTICALS LIMITED                              ,ORDINARY            ,2.97,20180629,2018,Neuren Pharmaceuticals Limited Ordinary,Pharmaceuticals,1.0,7.0
NEW,EQY,NEW ENERGY SOLAR                                            ,STAPLED             ,1.46,20180629,2018,,,1.0,0.0
NGE,EQY,NGE CAPITAL LIMITED                                         ,ORDINARY            ,0.67,20180629,2018,NGE Capital Limited Ordinary,Investment Management & Fund Operators,1.0,0.9
NGI,EQY,NAVIGATOR GLOBAL INVESTMENTS LIMITED                        ,ORDINARY            ,5.34,20180629,2018,Navigator Global Investments Limited FPO-U.S. Investor Prohibited Except QPS,Investment Management & Fund Operators,1.0,0.0
NGY,EQY,NUENERGY GAS LIMITED                                        ,ORDINARY            ,0.04,20180625,2018,Nuenergy Gas Limited Ordinary,Oil & Gas Exploration and Production,1.0,0.0
NHC,EQY,NEW HOPE CORPORATION LIMITED                                ,ORDINARY            ,2.99,20180629,2018,New Hope Corporation Limited Ordinary,Coal,1.0,1.98
NHF,EQY,NIB HOLDINGS LIMITED                                        ,ORDINARY            ,5.73,20180629,2018,NIB Holdings Limited Ordinary,Life & Health Insurance,1.0,0.0
NHL,EQY,NOVITA HEALTHCARE LIMITED                                   ,ORDINARY            ,0.035,20180629,2018,,,1.0,0.0
NIO,EQY,NICKELORE LIMITED                                           ,ORDINARY            ,0.026,20160719,2018,,,1.0,0.0
NIU,EQY,NIUMINCO GROUP LIMITED                                      ,ORDINARY            ,0.001,20180629,2018,,,1.0,0.0
NKP,EQY,NKWE PLATINUM LIMITED                                       ,1C US COMMON        ,0.071,20180629,2018,,,1.0,0.0
NLI,EQY,NOVO LITIO LTD                                              ,ORDINARY            ,0.045,20180629,2018,,,1.0,0.0
NME,EQY,NEX METALS EXPLORATION LIMITED                              ,ORDINARY            ,0.015,20180629,2018,Nex Metals Exploration Limited Ordinary,Integrated  Mining,1.0,0.0
NMI,EQY,NORTHERN MINING LIMITED                                     ,ORDINARY            ,0.011,20170801,2018,,,1.0,0.0
NML,EQY,NAVARRE MINERALS LIMITED                                    ,ORDINARY            ,0.059,20180629,2018,Navarre Minerals Limited Ordinary,Integrated  Mining,1.0,0.0
NMM,EQY,NOBLE METALS LIMITED                                        ,ORDINARY            ,0.115,20170314,2018,,,1.0,0.06
NMS,EQY,NEPTUNE MARINE SERVICES LIMITED                             ,ORDINARY            ,0.51,20180629,2018,,,1.0,0.0
NMT,EQY,NEOMETALS LTD                                               ,ORDINARY            ,0.3,20180629,2018,Neometals Ltd Ordinary,Specialty Mining & Metals,1.0,0.0
NNW,EQY,99 WUXIAN LIMITED                                           ,CDI 1:1             ,0.12,20180629,2018,,,1.0,0.0
NOR,EQY,NORWOOD SYSTEMS LIMITED                                     ,ORDINARY            ,0.007,20180629,2018,Norwood Systems Limited Ordinary,Software,1.0,0.0
NOV,EQY,NOVATTI GROUP LIMITED                                       ,ORDINARY            ,0.225,20180629,2018,Novatti Group Limited Ordinary,Financial Technology (Fintech),1.0,0.2
NOX,EQY,NOXOPHARM LIMITED                                           ,ORDINARY            ,0.61,20180629,2018,Noxopharm Limited Ordinary,Pharmaceuticals,1.0,0.0
NSC,EQY,NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED                ,ORDINARY            ,0.765,20180629,2018,Naos Small Cap Opportunities Company Limited Ordinary,Investment Management & Fund Operators,1.0,3.04
NSE,EQY,NEW STANDARD ENERGY LIMITED                                 ,ORDINARY            ,0.004,20180629,2018,,,1.0,0.0
NSL,EQY,NSL CONSOLIDATED LIMITED                                    ,ORDINARY            ,0.01,20180629,2018,,,1.0,0.0
NSR,EQY,NATIONAL STORAGE REIT                                       ,STAPLED             ,1.645,20180629,2018,National Storage Reit Ordinary/Units Stapled Securities,Specialized REITs,1.0,0.0
NST,EQY,NORTHERN STAR RESOURCES LTD                                 ,ORDINARY            ,7.26,20180629,2018,Northern Star Resources Ltd Ordinary,Gold,1.0,0.0
NSX,EQY,NSX LIMITED                                                 ,ORDINARY            ,0.19,20180621,2018,NSX Limited Ordinary,"Financial, Commodity Market Ops & Svc",1.0,0.0
NTC,EQY,NETCOMM WIRELESS LIMITED                                    ,ORDINARY            ,1.105,20180629,2018,,,1.0,0.0
NTD,EQY,NATIONAL TYRE & WHEEL LIMITED                               ,ORDINARY            ,1.23,20180629,2018,Ntaw Holdings Limited Ordinary,Tires & Rubber Products,1.0,0.0
NTI,EQY,NEUROTECH INTERNATIONAL LIMITED                             ,ORDINARY            ,0.16,20180629,2018,Neurotech International Limited Ordinary,Advanced Medical Equipment & Technology,1.0,0.0
NTL,EQY,NEW TALISMAN GOLD MINES LIMITED                             ,ORDINARY            ,0.014,20180629,2018,New Talisman Gold Mines Limited Ordinary,Integrated  Mining,1.0,0.0
NTM,EQY,NTM GOLD LIMITED                                            ,ORDINARY            ,0.039,20180629,2018,NT Minerals Limited Ordinary,Specialty Mining & Metals,1.0,0.0
NTU,EQY,NORTHERN MINERALS LIMITED                                   ,ORDINARY            ,0.09,20180629,2018,Northern Minerals Limited Ordinary,Integrated  Mining,1.0,0.0
NUF,EQY,NUFARM LIMITED                                              ,ORDINARY            ,8.86,20180629,2018,Nufarm Limited Ordinary,Agricultural Chemicals,1.0,0.0
NUH,EQY,NUHEARA LIMITED                                             ,ORDINARY            ,0.098,20180629,2018,Nuheara Limited Ordinary,Phones & Handheld Devices,1.0,0.0
NUS,EQY,NUSANTARA RESOURCES LIMITED                                 ,ORDINARY            ,0.19,20180629,2018,,,1.0,1.48
NVA,EQY,NOVA MINERALS LIMITED                                       ,ORDINARY            ,0.028,20180629,2018,Nova Minerals Limited Ordinary,Integrated  Mining,1.0,0.0
NVL,EQY,NATIONAL VETERINARY CARE LTD                                ,ORDINARY            ,2.65,20180629,2018,,,1.0,0.0
NVO,EQY,NVOI LTD                                                    ,ORDINARY            ,0.005,20180629,2018,Novo Resources Corp. CDI 1:1,,1.0,0.9975
NVT,EQY,NAVITAS LIMITED                                             ,ORDINARY            ,4.44,20180629,2018,,,1.0,0.36
NVX,EQY,NOVONIX LIMITED                                             ,ORDINARY            ,0.61,20180629,2018,Novonix Limited Ordinary,Electrical Components & Equipment,1.0,0.0
NWC,EQY,NEW WORLD COBALT LIMITED                                    ,ORDINARY            ,0.073,20180629,2018,New World Resources Limited Ordinary,Integrated  Mining,1.0,0.0
NWE,EQY,NORWEST ENERGY NL                                           ,ORDINARY            ,0.003,20180629,2018,,,1.0,2.2
NWF,EQY,NEWFIELD RESOURCES LIMITED                                  ,ORDINARY            ,0.17,20180629,2018,Newfield Resources Limited Ordinary,Gold,1.0,0.0
NWH,EQY,NRW HOLDINGS LIMITED                                        ,ORDINARY            ,1.695,20180629,2018,NRW Holdings Limited Ordinary,Construction & Engineering,1.0,0.0
NWL,EQY,NETWEALTH GROUP LIMITED                                     ,ORDINARY            ,8.22,20180629,2018,Netwealth Group Limited Ordinary,Investment Management & Fund Operators,1.0,0.92
NWS,EQY,NEWS CORPORATION..                                          ,B VOTING CDI        ,21.1,20180629,2018,News Corporation. Class B Voting Common Stock-CDI 1:1,Consumer Publishing,1.0,0.2
NWSLV,EQY,NEWS CORPORATION..                                          ,A NON-VOTING CDI    ,20.8,20180629,2018,News Corporation. Class A non-Voting Common Stock-CDI 1:1,Consumer Publishing,1.0,0.0
NXM,EQY,NEXUS MINERALS LIMITED                                      ,ORDINARY            ,0.078,20180628,2018,Nexus Minerals Limited Ordinary,Gold,1.0,0.0
