ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year
AJM,EQY,ALTURA MINING LIMITED                                       ,ORDINARY            ,0.125,20170630,2017
AJQ,EQY,ARMOUR ENERGY LIMITED                                       ,ORDINARY            ,0.07,20170630,2017
AJX,EQY,ALEXIUM INTERNATIONAL GROUP LIMITED                         ,ORDINARY            ,0.56,20170630,2017
AJY,EQY,ASAPLUS RESOURCES LIMITED                                   ,CDI 1:1             ,0.18,20170223,2017
AKF,EQY,ASK FUNDING LIMITED                                         ,ORDINARY            ,0.06,20170125,2017
AKG,EQY,ACADEMIES AUSTRALASIA GROUP LIMITED                         ,ORDINARY            ,0.185,20170629,2017
AKM,EQY,ASPIRE MINING LIMITED                                       ,ORDINARY            ,0.018,20170630,2017
AKN,EQY,AUKING MINING LIMITED                                       ,ORDINARY            ,0.006,20170630,2017
AKP,EQY,AUDIO PIXELS HOLDINGS LIMITED                               ,ORDINARY            ,19,20170630,2017
AL8,EQY,ALDERAN RESOURCES LIMITED                                   ,ORDINARY            ,0.465,20170630,2017
ALC,EQY,ALCIDION GROUP LIMITED                                      ,ORDINARY            ,0.069,20170630,2017
ALF,EQY,AUSTRALIAN LEADERS FUND LIMITED                             ,ORDINARY            ,1.205,20170630,2017
ALI,EQY,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED                   ,ORDINARY            ,1.85,20170630,2017
ALK,EQY,ALKANE RESOURCES LIMITED                                    ,ORDINARY            ,0.235,20170630,2017
ALL,EQY,ARISTOCRAT LEISURE LIMITED                                  ,ORDINARY            ,22.56,20170630,2017
ALQ,EQY,ALS LIMITED                                                 ,ORDINARY            ,7.45,20170630,2017
ALR,EQY,ABERDEEN LEADERS LIMITED                                    ,ORDINARY            ,1.17,20170630,2017
ALT,EQY,ANALYTICA LIMITED                                           ,ORDINARY            ,0.005,20170630,2017
ALU,EQY,ALTIUM LIMITED                                              ,ORDINARY            ,8.57,20170630,2017
ALY,EQY,ALCHEMY RESOURCES LIMITED                                   ,ORDINARY            ,0.018,20170630,2017
AMA,EQY,AMA GROUP LIMITED                                           ,ORDINARY            ,0.97,20170630,2017
AMB,EQY,AMBITION GROUP LIMITED                                      ,ORDINARY            ,0.16,20170622,2017
AMC,EQY,AMCOR LIMITED                                               ,ORDINARY            ,16.21,20170630,2017
AME,EQY,ALTO METALS LIMITED                                         ,ORDINARY            ,0.072,20170629,2017
AMG,EQY,AUSMEX MINING GROUP LIMITED                                 ,ORDINARY            ,0.071,20170630,2017
AMH,EQY,AMCIL LIMITED                                               ,ORDINARY            ,0.915,20170630,2017
AMI,EQY,AURELIA METALS LIMITED                                      ,ORDINARY            ,0.185,20170630,2017
AML,EQY,AEON METALS LIMITED.                                        ,ORDINARY            ,0.155,20170630,2017
AMN,EQY,AGRIMIN LIMITED                                             ,ORDINARY            ,0.465,20170630,2017
AMO,EQY,AMBERTECH LIMITED                                           ,ORDINARY            ,0.15,20170629,2017
AMP,EQY,AMP LIMITED                                                 ,ORDINARY            ,5.19,20170630,2017
AMPPA,EQY,AMP LIMITED                                                 ,CN 3M PER Q RD T-21 ,106,20170630,2017
AMT,EQY,ALLEGRA ORTHOPAEDICS LIMITED                                ,ORDINARY            ,0.17,20170629,2017
ANG,EQY,AUSTIN ENGINEERING LIMITED                                  ,ORDINARY            ,0.22,20170630,2017
ANL,EQY,AMANI GOLD LIMITED                                          ,ORDINARY            ,0.043,20170630,2017
ANN,EQY,ANSELL LIMITED                                              ,ORDINARY            ,23.73,20170630,2017
ANO,EQY,ADVANCED NANO TECHNOLOGIES LIMITED                          ,ORDINARY            ,0.024,20170630,2017
ANP,EQY,ANTISENSE THERAPEUTICS LIMITED                              ,ORDINARY            ,0.033,20170630,2017
ANQ,EQY,ANAECO LIMITED                                              ,ORDINARY            ,0.002,20170630,2017
ANR,EQY,ANATARA LIFESCIENCES LTD                                    ,ORDINARY            ,1,20170630,2017
ANS,EQY,AUSTSINO RESOURCES GROUP LIMITED                            ,ORDINARY            ,0.007,20141217,2017
ANW,EQY,AUS TIN MINING LTD                                          ,ORDINARY            ,0.007,20170630,2017
ANZ,EQY,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED             ,ORDINARY            ,28.72,20170630,2017
ANZPC,EQY,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED             ,CTG PRE 6M PER T    ,102.1,20170630,2017
ANZPD,EQY,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED             ,CN 6M PER Q RD T-21 ,102.49,20170630,2017
ANZPE,EQY,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED             ,CN 6M PER Q RD T-22 ,101.35,20170630,2017
ANZPF,EQY,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED             ,CN 6M PER Q RD T-23 ,102,20170630,2017
ANZPG,EQY,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED             ,CN 3M PER Q RD T-24 ,104.75,20170630,2017
AO1,EQY,ASSETOWL LIMITED                                            ,ORDINARY            ,0.16,20170630,2017
AOA,EQY,AUSMON RESOURCES LIMITED                                    ,ORDINARY            ,0.004,20170629,2017
AOD,EQY,AURORA DIVIDEND INCOME TRUST (MANAGED FUND)                 ,MANAGED FUND UNITS  ,0.695,20170426,2017
AOF,EQY,AUSTRALIAN UNITY OFFICE FUND                                ,ORDINARY            ,2.23,20170630,2017
AOG,EQY,AVEO GROUP                                                  ,STAPLED SECURITIES  ,2.78,20170630,2017
AOH,EQY,ALTONA MINING LIMITED                                       ,ORDINARY            ,0.13,20170630,2017
AOK,EQY,AUSTEX OIL LIMITED                                          ,ORDINARY            ,0.01,20170630,2017
AON,EQY,APOLLO MINERALS LIMITED                                     ,ORDINARY            ,0.2,20170630,2017
AOP,EQY,APOLLO CONSOLIDATED LIMITED                                 ,ORDINARY            ,0.057,20170630,2017
AOU,EQY,AUROCH MINERALS LTD                                         ,ORDINARY            ,0.145,20170628,2017
AOW,EQY,AMERICAN PATRIOT OIL & GAS LIMITED                          ,ORDINARY            ,0.017,20170630,2017
APA,EQY,APA GROUP                                                   ,STAPLED SECURITIES  ,9.17,20170630,2017
APC,EQY,AUSTRALIAN POTASH LIMITED                                   ,ORDINARY            ,0.115,20170630,2017
APD,EQY,APN PROPERTY GROUP LIMITED                                  ,ORDINARY            ,0.405,20170630,2017
APE,EQY,AP EAGERS LIMITED                                           ,ORDINARY            ,8.36,20170630,2017
APG,EQY,AUSTPAC RESOURCES NL                                        ,ORDINARY            ,0.006,20170629,2017
API,EQY,AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED                ,ORDINARY            ,1.905,20170630,2017
